3.428816	response.output_text.delta	"M"
3.477129	response.output_text.delta	"3"
3.518103	response.output_text.delta	"-C"
3.558575	response.output_text.delta	"ACHE"
3.602701	response.output_text.delta	"-C"
3.643294	response.output_text.delta	"URRENT"
3.683590	response.output_text.delta	"-D"
3.724281	response.output_text.delta	"ONE"
3.765876	response.output_text.done	{"content_index": 0, "item_id": "item_f2381920d2e6", "output_index": 0, "sequence_number": 11, "text": "M3-CACHE-CURRENT-DONE", "type": "response.output_text.done"}
3.766023	response.completed	{"response": {"created_at": 1784602186, "id": "resp_a93419d20dff", "model": "JANGQ-AI/MiniMax-M3-Coder-Small", "object": "response", "output": [{"content": [{"annotations": [], "text": "M3-CACHE-CURRENT-DONE", "type": "output_text"}], "id": "item_f2381920d2e6", "role": "assistant", "status": "completed", "type": "message"}], "output_text": "M3-CACHE-CURRENT-DONE", "status": "completed", "usage": {"input_tokens": 1500, "input_tokens_details": {"cache_detail": "paged", "cached_tokens": 64}, "output_tokens": 9, "total_tokens": 1509}}, "sequence_number": 14, "type": "response.completed"}
SUMMARY	{"elapsed": 3.766303, "event_types": ["response.completed", "response.content_part.added", "response.content_part.done", "response.created", "response.output_item.added", "response.output_item.done", "response.output_text.delta", "response.output_text.done"], "label": "cold", "reasoning_chars": 0, "usage": {"input_tokens": 1500, "input_tokens_details": {"cache_detail": "paged", "cached_tokens": 64}, "output_tokens": 9, "total_tokens": 1509}, "visible": "M3-CACHE-CURRENT-DONE", "warnings": null}
