1784555950.304885	event: response.created
1784555950.312641	data: {"type": "response.created", "response": {"id": "resp_b22108b12213", "object": "response", "created_at": 1784555950, "status": "in_progress", "model": "dealignai/Nemotron-Omni-Nano-JANGTQ-CRACK", "output": []}, "sequence_number": 0}
1784555950.318925
1784555950.325304	event: response.output_item.added
1784555950.330723	data: {"type": "response.output_item.added", "output_index": 0, "item": {"id": "item_2a3d76d615f8", "type": "message", "status": "in_progress", "role": "assistant", "content": []}, "sequence_number": 1}
1784555950.335636
1784555950.340207	event: response.content_part.added
1784555950.345011	data: {"type": "response.content_part.added", "item_id": "item_2a3d76d615f8", "output_index": 0, "content_index": 0, "part": {"type": "output_text", "text": "", "annotations": []}, "sequence_number": 2}
1784555950.349348
1784555950.669030	event: response.reasoning_summary_text.delta
1784555950.674690	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": "I", "sequence_number": 3}
1784555950.681364
1784555950.688981	event: response.reasoning_summary_text.delta
1784555950.695159	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " need", "sequence_number": 4}
1784555950.700111
1784555950.704662	event: response.reasoning_summary_text.delta
1784555950.709674	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " to", "sequence_number": 5}
1784555950.714271
1784555950.718928	event: response.reasoning_summary_text.delta
1784555950.723733	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " carefully", "sequence_number": 6}
1784555950.728317
1784555950.733531	event: response.reasoning_summary_text.delta
1784555950.738509	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " analyze", "sequence_number": 7}
1784555950.743042
1784555950.747942	event: response.reasoning_summary_text.delta
1784555950.752450	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " the", "sequence_number": 8}
1784555950.757235
1784555950.761897	event: response.reasoning_summary_text.delta
1784555950.766255	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " audio", "sequence_number": 9}
1784555950.771184
1784555950.775702	event: response.reasoning_summary_text.delta
1784555950.780208	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " content", "sequence_number": 10}
1784555950.785051
1784555950.789398	event: response.reasoning_summary_text.delta
1784555950.794104	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " to", "sequence_number": 11}
1784555950.798889
1784555950.803221	event: response.reasoning_summary_text.delta
1784555950.808016	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " find", "sequence_number": 12}
1784555950.812576
1784555950.817000	event: response.reasoning_summary_text.delta
1784555950.821945	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " the", "sequence_number": 13}
1784555950.826375
1784555950.830595	event: response.reasoning_summary_text.delta
1784555950.835368	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " \"", "sequence_number": 14}
1784555950.839693
1784555950.844398	event: response.reasoning_summary_text.delta
1784555950.849121	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": "secret", "sequence_number": 15}
1784555950.853399
1784555950.858367	event: response.reasoning_summary_text.delta
1784555950.862918	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " audio", "sequence_number": 16}
1784555950.867236
1784555950.872187	event: response.reasoning_summary_text.delta
1784555950.876641	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " marker", "sequence_number": 17}
1784555950.881305
1784555950.885999	event: response.reasoning_summary_text.delta
1784555950.890252	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": "\".", "sequence_number": 18}
1784555950.894992
1784555950.899459	event: response.reasoning_summary_text.delta
1784555950.903857	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " The", "sequence_number": 19}
1784555950.908573
1784555950.913058	event: response.reasoning_summary_text.delta
1784555950.917527	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " prompt", "sequence_number": 20}
1784555950.922229
1784555950.926518	event: response.reasoning_summary_text.delta
1784555950.931061	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " states", "sequence_number": 21}
1784555950.935706
1784555950.940202	event: response.reasoning_summary_text.delta
1784555950.945169	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " that", "sequence_number": 22}
1784555950.949590
1784555950.953850	event: response.reasoning_summary_text.delta
1784555950.958688	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " the", "sequence_number": 23}
1784555950.963035
1784555950.967575	event: response.reasoning_summary_text.delta
1784555950.972386	data: {"type": "response.reasoning_summary_text.delta", "item_id": "item_2a3d76d615f8", "output_index": 0, "summary_index": 0, "delta": " marker", "sequence_number": 24}
